Test Case  Sleep Time      Number of Producers  Number of Consumers  Average Turnaround Time(ms)
1          8               1                    1                    1.20                
2          8               4                    1                    63.37               
3          8               16                   1                    103.39              
4          8               1                    2                    71.05               
5          8               4                    2                    55.84               
6          8               16                   2                    63.15               
7          8               1                    4                    55.55               
8          8               4                    4                    37.93               
9          8               16                   4                    38.01               
10         8               1                    16                   35.76               
11         8               4                    16                   29.04               
12         8               16                   16                   17.05               
